Organization_Name,Leader,Foundation_Year,id
Effertz Group,Katy,3/16/2020,1
Bashirian-Paucek,Blaine,5/12/2017,2
Weimann-Kirlin,Elli,1/11/1987,3
Jakubowski Inc,Gilbert,4/29/1997,4
"Hackett, Kuphal and Parisian",Muffin,12/6/2023,5
"Hackett, Hayes and Funk",Koo,5/5/1996,6
O'Conner LLC,Ewen,10/15/1993,7
Rodriguez and Sons,Janelle,7/29/1989,8
Cummerata-Hegmann,Mollee,12/21/1992,9
Goodwin LLC,Denyse,3/14/1998,10
Waters LLC,Barny,6/10/1988,11
"Cummerata, Monahan and Schneider",Gayle,1/24/1996,12
"Toy, Kertzmann and White",Burlie,8/27/1980,13
Roberts Inc,Julio,6/3/1991,14
"Romaguera, Rau and Marvin",Consuela,8/18/1981,15
"Simonis, Lindgren and Walsh",Emanuele,9/18/1998,16
Schimmel Group,Aviva,8/6/1986,17
"Hilpert, Jacobi and Champlin",Pet,9/14/2002,18
Kessler-Pfannerstill,Andeee,7/31/2006,19
"McGlynn, Russel and Langworth",Nannette,11/22/1996,20
Schinner LLC,Rosita,3/19/1993,21
Beatty-Stehr,Abbie,10/10/1990,22
Ullrich Inc,Terra,7/21/2004,23
Kessler-VonRueden,Jammal,3/6/1988,24
Konopelski and Sons,Lorrin,3/30/2017,25
"Turcotte, Osinski and Ritchie",Leroy,3/12/1986,26
"Veum, Nolan and Kozey",Marley,4/8/1990,27
Hills-Kuhlman,Faina,8/11/2017,28
Hamill-Volkman,Gage,6/27/1988,29
Flatley-Wuckert,Doris,3/29/2024,30
"Konopelski, MacGyver and McClure",Ariela,3/21/1997,31
Murazik and Sons,Salvidor,8/28/2001,32
Rodriguez-Rodriguez,Nevil,12/27/2006,33
"Kuphal, Luettgen and Flatley",Reta,4/7/2006,34
"Turner, Harvey and Buckridge",Drusie,2/24/2017,35
"Swaniawski, Bergstrom and Harber",Brynn,1/20/2004,36
"Block, Grady and Konopelski",Isak,5/29/1988,37
Metz and Sons,Quentin,10/16/1991,38
Kuphal-Romaguera,Vern,8/17/2012,39
Ernser Group,Hillel,2/13/2009,40
Steuber Inc,Kristoforo,6/27/2016,41
Cummerata Inc,Hinze,2/1/1982,42
"Kerluke, Runolfsson and Moore",Grant,9/2/2019,43
Kunze Inc,Lazare,6/2/2017,44
Tremblay-Reilly,Boone,8/4/2002,45
"Kutch, Quigley and Ebert",Betteann,1/6/2000,46
"Schmitt, O'Conner and Monahan",Fernanda,5/2/2017,47
Friesen-Brown,Javier,7/19/1998,48
Huel LLC,Emalia,12/14/1991,49
